name,mass,distance
11 Com b,6165.60000,93.1846000
11 UMi b,4684.81420,125.3210000
14 And b,1525.50000,75.4392000
14 Her b,2586.74645,17.9323000
16 Cyg B b,565.73740,21.1397000
17 Sco b,1373.01872,124.9530000
18 Del b,3273.50000,76.2220000
1RXS J160929.1-210524 b,3000.00000,139.1350000
24 Boo b,289.22530,95.9863000
24 Sex b,632.46000,72.0691000
24 Sex c,273.32000,72.0691000
2M0437 b,1271.31363,128.4840000
2MASS J01033563-5515561 AB b,4131.79000,47.2000000
2MASS J01225093-2439505 b,7786.50000,33.8281000
2MASS J02192210-3925225 b,4417.83700,40.0896412
2MASS J04414489+2301513 b,2383.60000,120.4239870
2MASS J12073346-3932539 b,1589.15000,64.3080000
2MASS J19383260+4603591 b,603.87700,396.3320000
2MASS J22362452+4751425 b,3972.87500,69.5737000
30 Ari B b,4392.41060,44.6570000
4 UMa b,2256.50000,73.4603000
42 Dra b,1233.13000,90.6545000
47 UMa b,804.08000,13.7967000
47 UMa c,171.62100,13.7967000
47 UMa d,521.22000,13.7967000
51 Eri b,635.66000,29.7575000
51 Peg b,146.20180,15.4614000
55 Cnc b,263.97850,12.5855000
55 Cnc c,54.47380,12.5855000
55 Cnc d,1232.49300,12.5855000
55 Cnc e,7.99000,12.5855000
55 Cnc f,44.81200,12.5855000
6 Lyn b,638.83830,54.6599000
61 Vir b,5.10000,8.5033200
61 Vir c,18.20000,8.5033200
61 Vir d,22.90000,8.5033200
7 CMa b,587.98550,19.8101000
7 CMa c,276.51210,19.8101000
70 Vir b,2380.45000,17.9011000
75 Cet b,953.49000,82.9613000
8 UMi b,416.35730,162.5520000
81 Cet b,1684.40000,101.2600000
91 Aqr b,1017.00000,44.0304000
AB Aur b,2860.45566,162.1270000
AB Pic b,4290.50000,50.0475000
AF Lep b,1664.46737,26.8564000
AU Mic b,20.12000,9.7221000
AU Mic c,9.60000,9.7221000
BD+03 2562 b,2034.11200,1070.6300000
BD+14 4559 b,330.54320,49.3520000
BD+15 2375 b,337.21763,768.0450000
BD+15 2940 b,352.78000,426.4200000
BD+20 2457 b,17668.16970,1539.7100000
BD+20 2457 c,3963.17000,1539.7100000
BD+20 274 b,1334.88600,1322.5100000
BD+20 594 b,22.24810,179.4610000
BD+45 564 b,432.24663,53.6220000
BD+48 738 b,289.22530,871.4930000
BD+48 740 b,540.31100,666.5890000
BD+49 828 b,508.50000,442.0420000
BD+55 362 b,228.83645,52.5697000
BD+60 1417 b,4767.42610,44.9543000
BD+63 1405 b,1258.60049,38.0473000
BD-00 4475 b,7961.60160,42.6402000
BD-06 1339 b,8.50000,20.2695000
BD-06 1339 c,53.00000,20.2695000
BD-08 2823 b,12.71320,41.3342000
BD-08 2823 c,104.00000,41.3342000
BD-10 3166 b,187.51970,84.4069000
BD-11 4672 b,206.58950,27.1665000
BD-11 4672 c,15.37000,27.1665000
BD-13 2130 b,3108.37740,925.2140000
BD-17 63 b,1620.90000,34.4603000
CD Cet b,3.95000,8.6071500
CFBDSIR J145829+101343 b,3337.10000,23.1000000
CFHTWIR-Oph 98 b,2479.06157,
CHXR 73 b,3994.48600,190.3740000
CI Tau b,3686.82800,157.9980000
COCONUTS-2 b,2002.31896,10.8864000
CT Cha b,5403.00000,190.7200000
CoRoT-1 b,327.35000,787.9090000
CoRoT-10 b,874.00000,338.3860000
CoRoT-11 b,740.51000,655.0370000
CoRoT-12 b,291.43800,1126.3700000
CoRoT-13 b,415.70400,1148.9300000
CoRoT-14 b,2415.40000,1744.6000000
CoRoT-16 b,170.03200,732.4090000
CoRoT-17 b,772.29000,1176.1200000
CoRoT-18 b,1102.82000,764.8890000
CoRoT-19 b,352.78000,790.6630000
CoRoT-2 b,1102.82000,213.2830000
CoRoT-20 b,1366.66900,844.0610000
CoRoT-20 c,5403.11000,844.0610000
CoRoT-21 b,718.29580,1398.8341969
CoRoT-22 b,12.20000,627.1580000
CoRoT-23 b,889.90000,1060.9700000
CoRoT-24 b,5.70000,591.5550000
CoRoT-24 c,28.00000,591.5550000
CoRoT-25 b,85.81000,1103.4800000
CoRoT-26 b,165.26000,1045.1800000
CoRoT-27 b,3302.11000,1010.2800000
CoRoT-28 b,153.82972,766.1830000
CoRoT-29 b,270.15550,806.5070000
CoRoT-3 b,6883.91000,768.7710000
CoRoT-30 b,921.70700,1032.2300000
CoRoT-31 b,266.97720,2005.7600000
CoRoT-35 b,349.61125,1123.2100000
CoRoT-36 b,216.12332,925.9580000
CoRoT-4 b,228.83000,726.4120000
CoRoT-5 b,148.42000,882.4720000
CoRoT-6 b,940.74000,645.2940000
CoRoT-7 b,4.07661,159.9060000
CoRoT-7 c,8.40000,159.9060000
CoRoT-7 d,17.14200,159.9060000
CoRoT-8 b,69.92000,322.0370000
CoRoT-9 b,266.97720,412.9800000
CoRoTID 223977153 b,47.67450,576.6830000
DE CVn b,3823.27330,30.5225000
DENIS-P J082303.1-491201 b,9057.77000,20.7700000
DH Tau b,3496.00000,134.8460000
DMPP-1 b,24.27000,62.5388000
DMPP-1 c,9.60000,62.5388000
DMPP-1 d,3.35000,62.5388000
DMPP-1 e,4.13000,62.5388000
DMPP-2 b,138.89171,137.9400000
DMPP-3 A b,2.58000,45.2300000
DP Leo b,1995.88832,305.6840000
DS Tuc A b,413.17900,44.0622000
EPIC 201170410.02,1.15000,134.0000000
EPIC 201238110 b,4.16000,159.2590000
